NAME,POSITION,TEAM,SALARY,SALARY2
Jalen Jones,SF,Boston Celtics,543471,0.543471
Richard Solomon,PF,Atlanta Hawks,543471,0.543471
Jonathan Gibson,PG,Dallas Mavericks,469943,0.469943
Toney Douglas,PG,Memphis Grizzlies,379159,0.379159
Lamar Patterson,SG,Atlanta Hawks,246956,0.246956
Andrew Bogut,C,Cleveland Cavaliers,242224,0.242224
Larry Sanders,PF,Cleveland Cavaliers,207722,0.207722
Ray McCallum,PG,Charlotte Hornets,121112,0.121112
Manny Harris,PG,Dallas Mavericks,115344,0.115344
Mike Tobey,C,Charlotte Hornets,67135,0.067135
Anthony Brown,SF,Orlando Magic,57672,0.057672
Justin Harper,PF,Philadelphia 76ers,57672,0.057672
Jarell Eddie,SG,Phoenix Suns,57672,0.057672
Alonzo Gee,SF,Denver Nuggets,57672,0.057672
Jarrett Jack,PG,New Orleans Pelicans,57672,0.057672
Pierre Jackson,PG,Dallas Mavericks,31969,0.031969
Kevin Durant,SF,Golden State Warriors,265e5,26.5
James Harden,PG,Houston Rockets,265e5,26.5
Russell Westbrook,PG,Oklahoma City Thunder,265e5,26.5
